OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_YEAR,OCCURRED_MONTH,OCCURRED_DAY,OCCURRED_TM,OCCURRED_HOUR,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,CIT_RACE,CIT_SEX,CIT_AGE,OFF_NUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM,OCCURRED_DATE_AND_TIME
525,3005,Citizen Complaint,Call For Service,CPCO (Formal),2014-06-30,2014,6,30,23:30:00:000,23,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE TACTICAL SHIFT,Unreported,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and sops",Unfounded,Incident Location,3740,38th,Street,E,Indianapolis,719,Black,Male,22,NA,Unreported,Unreported,121,Unreported,14-042,2014-07-01T03:30:00Z
526,3005,Citizen Complaint,Call For Service,CPCO (Formal),2014-06-30,2014,6,30,23:30:00:000,23,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE TACTICAL SHIFT,Unreported,Citizen Interaction,"Rude, discourteous, or insulting language",Unfounded,Incident Location,3740,38th,Street,E,Indianapolis,719,Black,Male,22,NA,Unreported,Unreported,121,Unreported,14-042,2014-07-01T03:30:00Z
527,3005,Citizen Complaint,Call For Service,CPCO (Formal),2014-06-30,2014,6,30,23:30:00:000,23,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE TACTICAL SHIFT,Unreported,Citizen Interaction,Failure to provide name or badge number,Unfounded,Incident Location,3740,38th,Street,E,Indianapolis,719,Black,Male,22,NA,Unreported,Unreported,121,Unreported,14-042,2014-07-01T03:30:00Z
528,3153,Citizen Complaint,Call For Service,CPCO (Informal),2014-07-03,2014,7,3,17:15:00:000,17,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,ACCIDENT INVESTIGATIONS UNIT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and sops",Not Sustained,Incident Location,1100,Delaware,Street,N,Indianapolis,749,White,Female,121,3202,Black,Female,32,Unreported,14-706,2014-07-03T21:15:00Z
529,3153,Citizen Complaint,Call For Service,CPCO (Informal),2014-07-03,2014,7,3,17:15:00:000,17,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,ACCIDENT INVESTIGATIONS UNIT,Breach of Discipline,Conduct detrimental to the efficient operation and/or general discipline of the department,Not Sustained,Incident Location,1100,Delaware,Street,N,Indianapolis,749,White,Female,121,3202,Black,Female,32,Unreported,14-706,2014-07-03T21:15:00Z
530,3153,Citizen Complaint,Call For Service,CPCO (Informal),2014-07-03,2014,7,3,17:15:00:000,17,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,ACCIDENT INVESTIGATIONS UNIT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,1100,Delaware,Street,N,Indianapolis,749,White,Female,121,3202,Black,Female,32,Unreported,14-706,2014-07-03T21:15:00Z
531,3153,Citizen Complaint,Call For Service,CPCO (Informal),2014-07-03,2014,7,3,17:15:00:000,17,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,ACCIDENT INVESTIGATIONS UNIT,Substandard Performance,Unreported,Not Sustained,Incident Location,1100,Delaware,Street,N,Indianapolis,749,White,Female,121,3202,Black,Female,32,Unreported,14-706,2014-07-03T21:15:00Z
532,3256,Citizen Complaint,Call For Service,CPCO (Formal),2014-07-05,2014,7,5,13:00:00:000,13,OPERATIONS DIVISION,NORTH DISTRICT,ND DAY SHIFT,ND DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and sops",Sustained,Incident Location,618,38,Street,W,Indianapolis,768,Black,Male,50,392,White,Male,39,13,14-043,2014-07-05T17:00:00Z
533,3256,Citizen Complaint,Call For Service,CPCO (Formal),2014-07-05,2014,7,5,13:00:00:000,13,OPERATIONS DIVISION,NORTH DISTRICT,ND DAY SHIFT,ND DAY SHIFT,Citizen Interaction,Failure to make a report when approached by a citizen,Sustained,Incident Location,618,38,Street,W,Indianapolis,768,Black,Male,50,392,White,Male,39,13,14-043,2014-07-05T17:00:00Z
534,3256,Citizen Complaint,Call For Service,CPCO (Formal),2014-07-05,2014,7,5,13:00:00:000,13,OPERATIONS DIVISION,NORTH DISTRICT,ND DAY SHIFT,ND DAY SHIFT,Substandard Performance,Act or ommission contrary to the obectives of the department,Sustained,Incident Location,618,38,Street,W,Indianapolis,768,Black,Male,50,392,White,Male,39,13,14-043,2014-07-05T17:00:00Z
535,3256,Citizen Complaint,Call For Service,CPCO (Formal),2014-07-05,2014,7,5,13:00:00:000,13,OPERATIONS DIVISION,NORTH DISTRICT,ND DAY SHIFT,ND DAY SHIFT,Citizen Interaction,Failure to make a report when approached by a citizen,Sustained,Incident Location,618,38,Street,W,Indianapolis,768,Black,Male,50,392,White,Male,39,13,14-043,2014-07-05T17:00:00Z
536,3509,Citizen Complaint,Not Applicable,CPCO (Informal),2014-07-03,2014,7,3,12:50:00:000,12,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and sops",Exonerated,Incident Location,6144,Hillside,Avenue,NA,Indianapolis,844,Unreported,Male,121,455,Black,Female,55,30,14-707,2014-07-03T16:50:00Z
537,3509,Citizen Complaint,Not Applicable,CPCO (Informal),2014-07-03,2014,7,3,12:50:00:000,12,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Violation of Any Rule,"Failure to conform to the department's rules, regulations, orders, policies, and sops while off duty",Exonerated,Incident Location,6144,Hillside,Avenue,NA,Indianapolis,844,Unreported,Male,121,455,Black,Female,55,30,14-707,2014-07-03T16:50:00Z
538,3509,Citizen Complaint,Not Applicable,CPCO (Informal),2014-07-03,2014,7,3,12:50:00:000,12,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Citizen Interaction,"Rude, discourteous, or insulting language",Exonerated,Incident Location,6144,Hillside,Avenue,NA,Indianapolis,844,Unreported,Male,121,455,Black,Female,55,30,14-707,2014-07-03T16:50:00Z
539,3707,Citizen Complaint,Call For Service,CPCO (Formal),2014-07-11,2014,7,11,13:00:00:000,13,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT DAY SHIFT,Unreported,Citizen Interaction,"Rude, discourteous, or insulting language",Unfounded,Incident Location,200,Pennsylvania,Street,N,Indianapolis,902,Black,Male,22,450,White,Male,49,27,14-044,2014-07-11T17:00:00Z
540,3707,Citizen Complaint,Call For Service,CPCO (Formal),2014-07-11,2014,7,11,13:00:00:000,13,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT DAY SHIFT,Unreported,Citizen Interaction,Indecent or lewd language,Not Sustained,Incident Location,200,Pennsylvania,Street,N,Indianapolis,902,Black,Male,22,450,White,Male,49,27,14-044,2014-07-11T17:00:00Z
541,3707,Citizen Complaint,Call For Service,CPCO (Formal),2014-07-11,2014,7,11,13:00:00:000,13,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT DAY SHIFT,Unreported,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and sops",Not Sustained,Incident Location,200,Pennsylvania,Street,N,Indianapolis,902,Black,Male,22,450,White,Male,49,27,14-044,2014-07-11T17:00:00Z
542,3847,Citizen Complaint,Arrest,CPCO (Formal),2014-07-10,2014,7,10,21:00:00:000,21,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Use of Force,Mistreatment of person in custody,Unfounded,Incident Location,4301,Carrollton,Avenue,N,Indianapolis,914,Black,Male,16,2540,White,Male,35,6,14-045,2014-07-11T01:00:00Z
543,3847,Citizen Complaint,Arrest,CPCO (Formal),2014-07-10,2014,7,10,21:00:00:000,21,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Use of Force,"Unreasonable force (hands, fists, feet)",Unfounded,Incident Location,4301,Carrollton,Avenue,N,Indianapolis,914,Black,Male,16,2540,White,Male,35,6,14-045,2014-07-11T01:00:00Z
544,3847,Citizen Complaint,Arrest,CPCO (Formal),2014-07-10,2014,7,10,21:00:00:000,21,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Use of Force,Mistreatment of person in custody,Unfounded,Incident Location,4301,Carrollton,Avenue,N,Indianapolis,914,Black,Male,16,2885,White,Male,35,5,14-045,2014-07-11T01:00:00Z
545,3847,Citizen Complaint,Arrest,CPCO (Formal),2014-07-10,2014,7,10,21:00:00:000,21,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Use of Force,"Unreasonable force (hands, fists, feet)",Unfounded,Incident Location,4301,Carrollton,Avenue,N,Indianapolis,914,Black,Male,16,2885,White,Male,35,5,14-045,2014-07-11T01:00:00Z
546,3846,Citizen Complaint,Arrest,CPCO (Formal),2014-06-18,2014,6,18,14:00:00:000,14,OPERATIONS DIVISION,EAST DISTRICT,ED DETECTIVE SECTION,ED DETECTIVE DAY SHIFT,Use of Force,"Unreasonable force (hands, fists, feet)",Exonerated,Incident Location,201,Shadeland,Avenue,N,Indianapolis,913,Black,Female,35,2534,Black,Male,31,6,14-046,2014-06-18T18:00:00Z
547,3846,Citizen Complaint,Arrest,CPCO (Formal),2014-06-18,2014,6,18,14:00:00:000,14,OPERATIONS DIVISION,EAST DISTRICT,ED DETECTIVE SECTION,ED DETECTIVE DAY SHIFT,Use of Force,"Unreasonable force (hands, fists, feet)",Exonerated,Incident Location,201,Shadeland,Avenue,N,Indianapolis,913,Black,Female,35,1314,White,Female,50,28,14-046,2014-06-18T18:00:00Z
548,3893,Citizen Complaint,Investigation,CPCO (Informal),2014-06-11,2014,6,11,01:02:03:004,1,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DETECTIVE SECTION,NW DETECTIVE DAY SHIFT,Substandard Performance,Unreported,Unreported,Incident Location,5539,56th,Street,W,Indianapolis,925,White,Male,121,2612,White,Male,59,23,14-709,2014-06-11T05:02:03Z
549,3894,Citizen Complaint,Traffic Stop,CPCO (Informal),2014-07-16,2014,7,16,12:30:00:000,12,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,TRAFFIC ENFORCEMENT SECTION,TRAFFIC ENFORCEMENT UNIT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,7000,Emerson,Avenue,S,Indianapolis,926,White,Male,69,198,White,Male,49,27,14-710,2014-07-16T16:30:00Z
550,3895,Citizen Complaint,Investigation,CPCO (Informal),2014-07-03,2014,7,3,10:45:00:000,10,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY TACTICAL SHIFT,ACCIDENT INVESTIGATIONS UNIT,Citizen Interaction,"Rude, discourteous, or insulting language",Sustained,Incident Location,5700,Washington,Street,W,Indianapolis,927,White,Female,121,2946,White,Male,27,5,14-712,2014-07-03T14:45:00Z
551,3895,Citizen Complaint,Investigation,CPCO (Informal),2014-07-03,2014,7,3,10:45:00:000,10,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY TACTICAL SHIFT,ACCIDENT INVESTIGATIONS UNIT,Substandard Performance,Unreported,Unfounded,Incident Location,5700,Washington,Street,W,Indianapolis,927,White,Female,121,2946,White,Male,27,5,14-712,2014-07-03T14:45:00Z
552,3895,Citizen Complaint,Investigation,CPCO (Informal),2014-07-03,2014,7,3,10:45:00:000,10,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY TACTICAL SHIFT,ACCIDENT INVESTIGATIONS UNIT,Citizen Interaction,Failure to provide name or badge number,Sustained,Incident Location,5700,Washington,Street,W,Indianapolis,927,White,Female,121,2946,White,Male,27,5,14-712,2014-07-03T14:45:00Z
553,3897,Citizen Complaint,Not Applicable,CPCO (Informal),2014-07-03,2014,7,3,19:00:00:000,19,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,Unreported,Violation of Any Rule,"Failure to conform to the department's rules, regulations, orders, policies, and sops while off duty",Sustained,Incident Location,13400,Allisonville,Road,NA,Fishers,928,Unreported,Male,121,2896,White,Male,26,5,14-711,2014-07-03T23:00:00Z
554,3897,Citizen Complaint,Not Applicable,CPCO (Informal),2014-07-03,2014,7,3,19:00:00:000,19,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,Unreported,Citizen Interaction,"Rude, discourteous, or insulting language",Sustained,Incident Location,13400,Allisonville,Road,NA,Fishers,928,Unreported,Male,121,2896,White,Male,26,5,14-711,2014-07-03T23:00:00Z
555,3897,Citizen Complaint,Not Applicable,CPCO (Informal),2014-07-03,2014,7,3,19:00:00:000,19,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,Unreported,Citizen Interaction,Indecent or lewd language,Sustained,Incident Location,13400,Allisonville,Road,NA,Fishers,928,Unreported,Male,121,2896,White,Male,26,5,14-711,2014-07-03T23:00:00Z
556,3897,Citizen Complaint,Not Applicable,CPCO (Informal),2014-07-03,2014,7,3,19:00:00:000,19,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,Unreported,Conduct Unbecoming,"Use of official position, badge, or credentials for personal advantage or to solicit goods, services, or gratuities.",Sustained,Incident Location,13400,Allisonville,Road,NA,Fishers,928,Unreported,Male,121,2896,White,Male,26,5,14-711,2014-07-03T23:00:00Z
557,3897,Citizen Complaint,Not Applicable,CPCO (Informal),2014-07-03,2014,7,3,19:00:00:000,19,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,Unreported,Breach of Discipline,Failure to improve performance,Sustained,Incident Location,13400,Allisonville,Road,NA,Fishers,928,Unreported,Male,121,2896,White,Male,26,5,14-711,2014-07-03T23:00:00Z
558,4091,Citizen Complaint,Arrest,CPCO (Formal),2014-05-25,2014,5,25,02:00:00:000,2,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Substandard Performance,Act or ommission contrary to the obectives of the department,Not Sustained,Incident Location,2900,Georgetown,Road,NA,Indianapolis,1002,White,Male,32,1456,White,Female,48,13,14-047,2014-05-25T06:00:00Z
559,4091,Citizen Complaint,Arrest,CPCO (Formal),2014-05-25,2014,5,25,02:00:00:000,2,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Citizen Interaction,Failure to provide name or badge number,Not Sustained,Incident Location,2900,Georgetown,Road,NA,Indianapolis,1002,White,Male,32,1456,White,Female,48,13,14-047,2014-05-25T06:00:00Z
560,4091,Citizen Complaint,Arrest,CPCO (Formal),2014-05-25,2014,5,25,02:00:00:000,2,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Violation of Any Law,Theft,Not Sustained,Incident Location,2900,Georgetown,Road,NA,Indianapolis,1002,White,Male,32,1456,White,Female,48,13,14-047,2014-05-25T06:00:00Z
561,4091,Citizen Complaint,Arrest,CPCO (Formal),2014-05-25,2014,5,25,02:00:00:000,2,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Substandard Performance,Act or ommission contrary to the obectives of the department,Not Sustained,Incident Location,2900,Georgetown,Road,NA,Indianapolis,1002,White,Male,32,1139,White,Female,54,31,14-047,2014-05-25T06:00:00Z
562,4091,Citizen Complaint,Arrest,CPCO (Formal),2014-05-25,2014,5,25,02:00:00:000,2,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Detention/Arrest,No pc/suspicion for arrest/detention,Not Sustained,Incident Location,2900,Georgetown,Road,NA,Indianapolis,1002,White,Male,32,1139,White,Female,54,31,14-047,2014-05-25T06:00:00Z
563,4091,Citizen Complaint,Arrest,CPCO (Formal),2014-05-25,2014,5,25,02:00:00:000,2,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Citizen Interaction,Failure to provide name or badge number,Not Sustained,Incident Location,2900,Georgetown,Road,NA,Indianapolis,1002,White,Male,32,1139,White,Female,54,31,14-047,2014-05-25T06:00:00Z
564,4091,Citizen Complaint,Arrest,CPCO (Formal),2014-05-25,2014,5,25,02:00:00:000,2,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Violation of Any Law,Theft,Not Sustained,Incident Location,2900,Georgetown,Road,NA,Indianapolis,1002,White,Male,32,1139,White,Female,54,31,14-047,2014-05-25T06:00:00Z
565,4092,Citizen Complaint,Arrest,CPCO (Formal),2014-06-01,2014,6,1,12:37:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,SE DAY SHIFT,Prisoner Handling/Trans.,Mistreatment of person in custody,Not Sustained,Incident Location,3132,Prague,Road,NA,Indianapolis,1003,White,Female,51,715,White,Male,46,23,14-048,2014-06-01T16:37:00Z
566,4092,Citizen Complaint,Arrest,CPCO (Formal),2014-06-01,2014,6,1,12:37:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,SE DAY SHIFT,Use of Force,"Unreasonable force (hands, fists, feet)",Not Sustained,Incident Location,3132,Prague,Road,NA,Indianapolis,1003,White,Female,51,715,White,Male,46,23,14-048,2014-06-01T16:37:00Z
567,4092,Citizen Complaint,Arrest,CPCO (Formal),2014-06-01,2014,6,1,12:37:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,SE DAY SHIFT,Search/Seizure,Improper warantless search,Exonerated,Incident Location,3132,Prague,Road,NA,Indianapolis,1003,White,Female,51,715,White,Male,46,23,14-048,2014-06-01T16:37:00Z
568,4092,Citizen Complaint,Arrest,CPCO (Formal),2014-06-01,2014,6,1,12:37:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,SE DAY SHIFT,Prisoner Handling/Trans.,Mistreatment of person in custody,Not Sustained,Incident Location,3132,Prague,Road,NA,Indianapolis,1003,White,Female,51,967,White,Female,53,30,14-048,2014-06-01T16:37:00Z
569,4092,Citizen Complaint,Arrest,CPCO (Formal),2014-06-01,2014,6,1,12:37:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,SE DAY SHIFT,Use of Force,"Unreasonable force (hands, fists, feet)",Not Sustained,Incident Location,3132,Prague,Road,NA,Indianapolis,1003,White,Female,51,967,White,Female,53,30,14-048,2014-06-01T16:37:00Z
570,4092,Citizen Complaint,Arrest,CPCO (Formal),2014-06-01,2014,6,1,12:37:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,SE DAY SHIFT,Search/Seizure,Improper warantless search,Exonerated,Incident Location,3132,Prague,Road,NA,Indianapolis,1003,White,Female,51,967,White,Female,53,30,14-048,2014-06-01T16:37:00Z
571,4092,Citizen Complaint,Arrest,CPCO (Formal),2014-06-01,2014,6,1,12:37:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,SE DAY SHIFT,Prisoner Handling/Trans.,Mistreatment of person in custody,Not Sustained,Incident Location,3132,Prague,Road,NA,Indianapolis,1003,White,Female,51,541,White,Male,64,43,14-048,2014-06-01T16:37:00Z
572,4092,Citizen Complaint,Arrest,CPCO (Formal),2014-06-01,2014,6,1,12:37:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,SE DAY SHIFT,Use of Force,"Unreasonable force (hands, fists, feet)",Not Sustained,Incident Location,3132,Prague,Road,NA,Indianapolis,1003,White,Female,51,541,White,Male,64,43,14-048,2014-06-01T16:37:00Z
573,4092,Citizen Complaint,Arrest,CPCO (Formal),2014-06-01,2014,6,1,12:37:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,SE DAY SHIFT,Search/Seizure,Improper warantless search,Exonerated,Incident Location,3132,Prague,Road,NA,Indianapolis,1003,White,Female,51,541,White,Male,64,43,14-048,2014-06-01T16:37:00Z
574,4127,Citizen Complaint,Traffic Stop,CPCO (Informal),2014-04-30,2014,4,30,06:53:00:000,6,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,Unreported,Citizen Interaction,"Rude, discourteous, or insulting language",Unfounded,Incident Location,3500,Shadeland,Avenue,N,Indianapolis,1009,White,Female,121,2951,White,Male,32,5,14-714,2014-04-30T10:53:00Z
575,4127,Citizen Complaint,Traffic Stop,CPCO (Informal),2014-04-30,2014,4,30,06:53:00:000,6,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,Unreported,Substandard Performance,Unreported,Not Sustained,Incident Location,3500,Shadeland,Avenue,N,Indianapolis,1009,White,Female,121,2951,White,Male,32,5,14-714,2014-04-30T10:53:00Z
576,4129,Citizen Complaint,Investigation,CPCO (Informal),2013-11-18,2013,11,18,01:00:00:000,1,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Use of Force,Mistreatment of person in custody,Not Sustained,Incident Location,9104,Crawfordsville,Road,NA,Clermont,1010,White,Male,121,3136,White,Male,31,6,14-715,2013-11-18T06:00:00Z
577,4129,Citizen Complaint,Investigation,CPCO (Informal),2013-11-18,2013,11,18,01:00:00:000,1,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Substandard Performance,Act or ommission contrary to the obectives of the department,Exonerated,Incident Location,9104,Crawfordsville,Road,NA,Clermont,1010,White,Male,121,3136,White,Male,31,6,14-715,2013-11-18T06:00:00Z
578,4129,Citizen Complaint,Investigation,CPCO (Informal),2013-11-18,2013,11,18,01:00:00:000,1,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Violation of Any Law,Theft,Exonerated,Incident Location,9104,Crawfordsville,Road,NA,Clermont,1010,White,Male,121,3136,White,Male,31,6,14-715,2013-11-18T06:00:00Z
579,4130,Citizen Complaint,Not Applicable,CPCO (Informal),2014-07-23,2014,7,23,07:50:00:000,7,OFFICE OF THE CHIEF,COMMUNITY AFFAIRS BRANCH,HOMELESS AND PANHANDLING,SQUAD #1,Vehicle Operation,Aggressive or unsafe driving,Unreported,Incident Location,100,Senate,Ave,N,Indianapolis,1011,Unreported,Female,121,643,White,Male,45,19,14-716,2014-07-23T11:50:00Z
580,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and sops",Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1012,Black,Female,42,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
581,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Violation of Any Rule,"Failure to conform to the department's rules, regulations, orders, policies, and sops while off duty",Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1012,Black,Female,42,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
582,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Off-Duty Employment,Working without an approved work permit,Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1012,Black,Female,42,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
583,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Off-Duty Employment,Unreported,Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1012,Black,Female,42,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
584,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Citizen Interaction,"Rude, discourteous, or insulting language",Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1012,Black,Female,42,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
585,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Use of Force,Mistreatment of person in custody,Not Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1012,Black,Female,42,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
586,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Substandard Performance,Act or ommission contrary to the obectives of the department,Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1012,Black,Female,42,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
587,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and sops",Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1013,Bi-Racial,Male,34,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
588,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Violation of Any Rule,"Failure to conform to the department's rules, regulations, orders, policies, and sops while off duty",Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1013,Bi-Racial,Male,34,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
589,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Off-Duty Employment,Working without an approved work permit,Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1013,Bi-Racial,Male,34,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
590,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Off-Duty Employment,Unreported,Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1013,Bi-Racial,Male,34,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
591,4146,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2014-07-23,2014,7,23,22:45:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Citizen Interaction,"Rude, discourteous, or insulting language",Sustained,Incident Location,5800,Beech Hollow,Drive,NA,Indianapolis,1013,Bi-Racial,Male,34,1880,White,Male,33,10,14-049,2014-07-24T02:45:00Z
