OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_YEAR,OCCURRED_MONTH,OCCURRED_DAY,OCCURRED_TM,OCCURRED_HOUR,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,CITY,CITNUM,CIT_RACE,CIT_SEX,CIT_AGE,OFF_NUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM,OCCURRED_DATE_AND_TIME
1891,17837,CITIZEN COMPLAINT,ARREST,CPCO (INFORMAL),2016-05-29,2016,5,29,08:00:00:000,8,OPERATIONS DIVISION,EAST DISTRICT,ED DETECTIVE SECTION,ED DETECTIVE MIDDLE SHIFT,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,10299,WHITE,FEMALE,72,1573,BLACK,MALE,44,18,16-759,2016-05-29T12:00:00Z
1892,17837,CITIZEN COMPLAINT,ARREST,CPCO (INFORMAL),2016-05-29,2016,5,29,08:00:00:000,8,OPERATIONS DIVISION,EAST DISTRICT,ED DETECTIVE SECTION,ED DETECTIVE MIDDLE SHIFT,USE OF FORCE,MEMBERS SHALL NOT USE MORE FORCE THAN REASONABLY NECESSARY,UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,10299,WHITE,FEMALE,72,1573,BLACK,MALE,44,18,16-759,2016-05-29T12:00:00Z
1893,17740,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2016-09-06,2016,9,6,19:07:00:000,19,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,NEGLECT OF DUTY,"FAILURE TO MAKE AND TURN IN ALL REPORTS PROMPTLY, ACCURATELY, AND COMPLETELY IN CONFORMITY WITH DEPARTMENT ORDERS.",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10253,WHITE,FEMALE,52,3351,BLACK,FEMALE,30,1,16-760,2016-09-06T23:07:00Z
1894,17895,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2016-12-06,2016,12,6,19:09:00:000,19,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10318,WHITE,FEMALE,37,2715,BLACK,MALE,32,10,16-699,2016-12-07T00:09:00Z
1895,17895,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2016-12-06,2016,12,6,19:09:00:000,19,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10318,WHITE,FEMALE,37,1520,WHITE,MALE,38,13,16-699,2016-12-07T00:09:00Z
1896,17896,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2016-12-01,2016,12,1,16:56:00:000,16,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10317,HISPANIC,MALE,42,2874,WHITE,MALE,27,2,16-077,2016-12-01T21:56:00Z
1897,17896,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2016-12-01,2016,12,1,16:56:00:000,16,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,BIAS-BASED PROFILING,ETHNICITY,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10317,HISPANIC,MALE,42,2874,WHITE,MALE,27,2,16-077,2016-12-01T21:56:00Z
1898,17897,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2016-11-20,2016,11,20,16:00:00:000,16,RESERVES,PATROL G200,UNREPORTED,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10319,WHITE,FEMALE,99999,2933,UNREPORTED,UNREPORTED,99999,7,16-756,2016-11-20T21:00:00Z
1899,17902,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2016-05-08,2016,5,8,08:33:00:000,8,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,CITIZEN INTERACTION,FAILURE TO PROVIDE NAME OR BADGE NUMBER,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10325,BLACK,FEMALE,35,1411,WHITE,MALE,43,15,16-762,2016-05-08T12:33:00Z
1900,18006,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2016-10-29,2016,10,29,14:58:00:000,14,RESERVES,PATROL G200,UNREPORTED,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING GESTURES",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10393,UNREPORTED,FEMALE,99999,232,WHITE,MALE,65,43,16-763,2016-10-29T18:58:00Z
1901,18121,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2016-12-13,2016,12,13,06:00:00:000,6,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,ACCIDENT INVESTIGATIONS UNIT,CITIZEN INTERACTION,"RUDE, DISCOURTEOUS, OR INSULTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10463,WHITE,MALE,37,14,WHITE,MALE,46,15,16-761,2016-12-13T11:00:00Z
1902,18121,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2016-12-13,2016,12,13,06:00:00:000,6,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,ACCIDENT INVESTIGATIONS UNIT,CITIZEN INTERACTION,FAILURE TO MAKE CRASH REPORT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10463,WHITE,MALE,37,14,WHITE,MALE,46,15,16-761,2016-12-13T11:00:00Z
1903,18301,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2016-12-31,2016,12,31,09:00:00:000,9,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT 2ND RC,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10595,WHITE,FEMALE,46,371,HISPANIC,FEMALE,48,14,17-600,2016-12-31T14:00:00Z
1904,18431,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2017-01-03,2017,1,3,19:25:00:000,19,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,FAILURE TO PERFORM DUTIES WHICH MAINTAIN SATISFACTORY STANDARDS OF EFFICIENCY/OBJECTIVES OF DEPARTMENT.,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10660,WHITE,FEMALE,32,3244,BLACK,MALE,31,2,17-602,2017-01-04T00:25:00Z
1905,18434,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2016-09-23,2016,9,23,12:32:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE SHIFT,UNREPORTED,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10661,WHITE,MALE,32,3092,WHITE,MALE,33,8,17-603,2016-09-23T16:32:00Z
1906,18434,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2016-09-23,2016,9,23,12:32:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE SHIFT,UNREPORTED,VEHICLE OPERATION,MISUSE OF EMERGENCY LIGHTS OR SIREN,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10661,WHITE,MALE,32,3092,WHITE,MALE,33,8,17-603,2016-09-23T16:32:00Z
1907,18434,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2016-09-23,2016,9,23,12:32:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE SHIFT,UNREPORTED,BREACH OF DISCIPLINE,CONDUCT DETRIMENTAL TO THE EFFICIENT OPERATION AND/OR GENERAL DISCIPLINE OF THE DEPARTMENT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10661,WHITE,MALE,32,3092,WHITE,MALE,33,8,17-603,2016-09-23T16:32:00Z
1908,18437,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2016-12-31,2016,12,31,18:25:00:000,18,CRIMINAL INVESTIGATION DIVISION,ORGANIZED CRIME,FRAUD SECTION,FINANCIAL CRIMES UNIT,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10662,WHITE,MALE,99999,649,WHITE,MALE,49,26,17-604,2016-12-31T23:25:00Z
1909,18574,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2017-01-14,2017,1,14,22:30:00:000,22,ADMINISTRATION DIVISION,INFORMATION & INTELLIGENCE BRANCH,REAL-TIME INCIDENT ANALYSIS,REAL-TIME INCIDENT ANALYSIS,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10772,UNREPORTED,FEMALE,99999,1019,WHITE,MALE,44,16,17-605,2017-01-15T03:30:00Z
1910,18574,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2017-01-14,2017,1,14,22:30:00:000,22,ADMINISTRATION DIVISION,INFORMATION & INTELLIGENCE BRANCH,REAL-TIME INCIDENT ANALYSIS,REAL-TIME INCIDENT ANALYSIS,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10772,UNREPORTED,FEMALE,99999,1019,WHITE,MALE,44,16,17-605,2017-01-15T03:30:00Z
1911,18578,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2017-01-13,2017,1,13,16:00:00:000,16,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,USE OF FORCE,MEMBERS SHALL NOT USE MORE FORCE THAN REASONABLY NECESSARY,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10774,WHITE,MALE,32,2171,WHITE,MALE,42,19,17-607,2017-01-13T21:00:00Z
1912,18578,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2017-01-13,2017,1,13,16:00:00:000,16,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,CITIZEN INTERACTION,INDECENT OR LEWD LANGUAGE,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10774,WHITE,MALE,32,2171,WHITE,MALE,42,19,17-607,2017-01-13T21:00:00Z
1913,18578,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2017-01-13,2017,1,13,16:00:00:000,16,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,USE OF FORCE,IMPROPER USE OF WEAPON,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10774,WHITE,MALE,32,2171,WHITE,MALE,42,19,17-607,2017-01-13T21:00:00Z
1914,18578,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2017-01-13,2017,1,13,16:00:00:000,16,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,BREACH OF DISCIPLINE,CONDUCT DETRIMENTAL TO THE EFFICIENT OPERATION AND/OR GENERAL DISCIPLINE OF THE DEPARTMENT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10774,WHITE,MALE,32,2171,WHITE,MALE,42,19,17-607,2017-01-13T21:00:00Z
1915,18578,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2017-01-13,2017,1,13,16:00:00:000,16,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,SUBSTANDARD PERFORMANCE,FAILURE TO PERFORM DUTIES WHICH MAINTAIN SATISFACTORY STANDARDS OF EFFICIENCY/OBJECTIVES OF DEPARTMENT.,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10774,WHITE,MALE,32,2171,WHITE,MALE,42,19,17-607,2017-01-13T21:00:00Z
1916,18587,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2016-12-23,2016,12,23,15:40:00:000,15,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DISCOURTEOUS, OR INSULTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10780,BLACK,FEMALE,35,3384,WHITE,MALE,30,1,17-608,2016-12-23T20:40:00Z
1917,18587,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2016-12-23,2016,12,23,15:40:00:000,15,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,INVESTIGATIVE PROCEDURES,FAILURE TO PROPERLY INVESTIGATE A VEHICLE CRASH,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10780,BLACK,FEMALE,35,3384,WHITE,MALE,30,1,17-608,2016-12-23T20:40:00Z
1918,18587,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2016-12-23,2016,12,23,15:40:00:000,15,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,NEGLECT OF DUTY,"FAILURE TO MAKE AND TURN IN ALL REPORTS PROMPTLY, ACCURATELY, AND COMPLETELY IN CONFORMITY WITH DEPARTMENT ORDERS.",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10780,BLACK,FEMALE,35,3384,WHITE,MALE,30,1,17-608,2016-12-23T20:40:00Z
1919,18743,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2017-01-25,2017,1,25,08:40:00:000,8,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,ADMINISTRATIVE DISCRETION,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10872,WHITE,MALE,26,1187,WHITE,MALE,55,29,17-606,2017-01-25T13:40:00Z
1920,18748,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2017-01-14,2017,1,14,14:45:00:000,14,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DISCOURTEOUS, OR INSULTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10873,HISPANIC,MALE,29,669,WHITE,MALE,48,18,17-001,2017-01-14T19:45:00Z
1921,18748,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2017-01-14,2017,1,14,14:45:00:000,14,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT MIDDLE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,FAILURE TO PERFORM DUTIES WHICH MAINTAIN SATISFACTORY STANDARDS OF EFFICIENCY/OBJECTIVES OF DEPARTMENT.,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,10873,HISPANIC,MALE,29,669,WHITE,MALE,48,18,17-001,2017-01-14T19:45:00Z
1922,18778,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2016-12-22,2016,12,22,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT 2ND RC,SUBSTANDARD PERFORMANCE,FAILURE TO PERFORM DUTIES WHICH MAINTAIN SATISFACTORY STANDARDS OF EFFICIENCY/OBJECTIVES OF DEPARTMENT.,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10883,BLACK,FEMALE,43,2736,WHITE,MALE,38,10,17-002,2016-12-22T14:45:00Z
1923,18778,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2016-12-22,2016,12,22,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT 2ND RC,NEGLECT OF DUTY,FAILURE TO TAKE PROPER LAW ENFORCEMENT ACTION,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10883,BLACK,FEMALE,43,2736,WHITE,MALE,38,10,17-002,2016-12-22T14:45:00Z
1924,18778,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2016-12-22,2016,12,22,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT 2ND RC,VIOLATION OF ANY RULE,FAILURE TO FOLLOW POLICY,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10883,BLACK,FEMALE,43,2736,WHITE,MALE,38,10,17-002,2016-12-22T14:45:00Z
1925,18780,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2017-01-24,2017,1,24,14:00:00:000,14,OPERATIONS DIVISION,SOUTHEAST DISTRICT,NEIGHBORHOOD IMPACT,COMMUNITY RESOURCES,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10884,WHITE,MALE,26,176,WHITE,MALE,48,17,17-003,2017-01-24T19:00:00Z
1926,18780,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2017-01-24,2017,1,24,14:00:00:000,14,OPERATIONS DIVISION,SOUTHEAST DISTRICT,NEIGHBORHOOD IMPACT,COMMUNITY RESOURCES,USE OF FORCE,MEMBERS SHALL NOT USE MORE FORCE THAN REASONABLY NECESSARY,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10884,WHITE,MALE,26,176,WHITE,MALE,48,17,17-003,2017-01-24T19:00:00Z
1927,18780,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2017-01-24,2017,1,24,14:00:00:000,14,OPERATIONS DIVISION,SOUTHEAST DISTRICT,NEIGHBORHOOD IMPACT,COMMUNITY RESOURCES,SUBSTANDARD PERFORMANCE,FAILURE TO PERFORM DUTIES WHICH MAINTAIN SATISFACTORY STANDARDS OF EFFICIENCY/OBJECTIVES OF DEPARTMENT.,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10884,WHITE,MALE,26,176,WHITE,MALE,48,17,17-003,2017-01-24T19:00:00Z
1928,19105,CITIZEN COMPLAINT,SELF-INITIATED ACTIVITY,CPCO (FORMAL),2017-02-03,2017,2,3,21:58:00:000,21,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11048,BLACK,MALE,61,2844,BLACK,MALE,37,8,17-004,2017-02-04T02:58:00Z
1929,19105,CITIZEN COMPLAINT,SELF-INITIATED ACTIVITY,CPCO (FORMAL),2017-02-03,2017,2,3,21:58:00:000,21,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,USE OF FORCE,UNREASONABLE FORCE (OTHER),EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11048,BLACK,MALE,61,2844,BLACK,MALE,37,8,17-004,2017-02-04T02:58:00Z
1930,19105,CITIZEN COMPLAINT,SELF-INITIATED ACTIVITY,CPCO (FORMAL),2017-02-03,2017,2,3,21:58:00:000,21,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,CITIZEN INTERACTION,FAILURE TO PROVIDE NAME OR BADGE NUMBER,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11048,BLACK,MALE,61,2844,BLACK,MALE,37,8,17-004,2017-02-04T02:58:00Z
1931,19107,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2017-02-06,2017,2,6,15:47:00:000,15,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11051,UNREPORTED,FEMALE,99999,3212,BLACK,MALE,30,2,17-609,2017-02-06T20:47:00Z
1932,19258,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2017-02-15,2017,2,15,10:35:00:000,10,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING GESTURES",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11167,WHITE,MALE,45,3132,WHITE,FEMALE,33,8,17-007,2017-02-15T15:35:00Z
1933,19258,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2017-02-15,2017,2,15,10:35:00:000,10,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,NEGLECT OF DUTY,"FAILURE TO MAKE AND TURN IN ALL REPORTS PROMPTLY, ACCURATELY, AND COMPLETELY IN CONFORMITY WITH DEPARTMENT ORDERS.",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11167,WHITE,MALE,45,3132,WHITE,FEMALE,33,8,17-007,2017-02-15T15:35:00Z
1934,19258,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2017-02-15,2017,2,15,10:35:00:000,10,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,INVESTIGATIVE PROCEDURES,FAILURE TO COMPLETE AN INCIDENT REPORT,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11167,WHITE,MALE,45,3132,WHITE,FEMALE,33,8,17-007,2017-02-15T15:35:00Z
1935,19274,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2017-01-16,2017,1,16,14:10:00:000,14,RESERVES,PATROL - AI,UNREPORTED,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING GESTURES",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,11177,WHITE,FEMALE,36,2684,UNREPORTED,MALE,61,16,17-610,2017-01-16T19:10:00Z
1936,19274,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2017-01-16,2017,1,16,14:10:00:000,14,RESERVES,PATROL - AI,UNREPORTED,UNREPORTED,SUBSTANDARD PERFORMANCE,FAILURE TO PERFORM DUTIES WHICH MAINTAIN SATISFACTORY STANDARDS OF EFFICIENCY/OBJECTIVES OF DEPARTMENT.,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11177,WHITE,FEMALE,36,2684,UNREPORTED,MALE,61,16,17-610,2017-01-16T19:10:00Z
1937,19279,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2017-02-01,2017,2,1,19:45:00:000,19,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,FLEX TEAM,SUBSTANDARD PERFORMANCE,FAILURE TO SUBMIT EVIDENCE OR PROPERTY TO PROPERTY ROOM AS REQUIRED,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10959,BLACK,MALE,31,3243,WHITE,MALE,32,2,17-005,2017-02-02T00:45:00Z
1938,19279,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2017-02-01,2017,2,1,19:45:00:000,19,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,FLEX TEAM,SUBSTANDARD PERFORMANCE,FAILURE TO SUBMIT EVIDENCE OR PROPERTY TO PROPERTY ROOM AS REQUIRED,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10959,BLACK,MALE,31,3204,BLACK,FEMALE,30,2,17-005,2017-02-02T00:45:00Z
1939,19279,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2017-02-01,2017,2,1,19:45:00:000,19,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,FLEX TEAM,SUBSTANDARD PERFORMANCE,FAILURE TO SUBMIT EVIDENCE OR PROPERTY TO PROPERTY ROOM AS REQUIRED,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10959,BLACK,MALE,31,3243,WHITE,MALE,32,2,17-005,2017-02-02T00:45:00Z
1940,19279,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2017-02-01,2017,2,1,19:45:00:000,19,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,FLEX TEAM,SUBSTANDARD PERFORMANCE,FAILURE TO SUBMIT EVIDENCE OR PROPERTY TO PROPERTY ROOM AS REQUIRED,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,10959,BLACK,MALE,31,3204,BLACK,FEMALE,30,2,17-005,2017-02-02T00:45:00Z
1941,19280,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2017-02-04,2017,2,4,11:00:00:000,11,CRIMINAL INVESTIGATION DIVISION,HOMICIDE AND ROBBERY,HOMICIDE SECTION (DAY),HOMICIDE UNIT (DAY),SUBSTANDARD PERFORMANCE,INABILITY OR UNWILLINGNESS TO PERFORM ASSIGNED DUTIES.,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11179,BLACK,FEMALE,42,1429,HISPANIC,MALE,47,15,17-006,2017-02-04T16:00:00Z
1942,19361,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2016-09-08,2016,9,8,11:00:00:000,11,OPERATIONS DIVISION,EAST DISTRICT,ED DETECTIVE SECTION,ED DETECTIVE DAY SHIFT,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11239,BLACK,FEMALE,99999,1157,WHITE,MALE,44,17,17-611,2016-09-08T15:00:00Z
1943,19361,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2016-09-08,2016,9,8,11:00:00:000,11,OPERATIONS DIVISION,EAST DISTRICT,ED DETECTIVE SECTION,ED DETECTIVE DAY SHIFT,SUBSTANDARD PERFORMANCE,INABILITY OR UNWILLINGNESS TO PERFORM ASSIGNED DUTIES.,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,11239,BLACK,FEMALE,99999,1157,WHITE,MALE,44,17,17-611,2016-09-08T15:00:00Z
